rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,5,0x0000000000001234,0x02000000,1,3,0xa8082586,rms,2^(-13.7956),2^(-13.7956)
11,random_keys,,5,0x0000000000001234,0x02000000,1,4,0xab4b93ed,rms,2^(-13.8039),2^(-13.8039)
11,random_keys,,5,0x0000000000001234,0x02000000,1,5,0xe2469049,rms,2^(-13.8076),2^(-13.8076)
11,random_keys,,5,0x0000000000001234,0x04000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x04000000,1,2,0xadf4f5c4,rms,2^(-13.7753),2^(-13.7753)
11,random_keys,,5,0x0000000000001234,0x04000000,1,3,0xf8a46225,rms,2^(-13.7761),2^(-13.7761)
11,random_keys,,5,0x0000000000001234,0x04000000,1,4,0xb4740bc3,rms,2^(-13.7788),2^(-13.7788)
11,random_keys,,5,0x0000000000001234,0x04000000,1,5,0x5abed98e,rms,2^(-13.8166),2^(-13.8166)
11,random_keys,,5,0x0000000000001234,0x08000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x08000000,1,2,0xd29bcd83,rms,2^(-13.7651),2^(-13.7651)
11,random_keys,,5,0x0000000000001234,0x08000000,1,3,0x083e1f7e,rms,2^(-13.7953),2^(-13.7953)
11,random_keys,,5,0x0000000000001234,0x08000000,1,4,0xec5993fe,rms,2^(-13.8119),2^(-13.8119)
11,random_keys,,5,0x0000000000001234,0x08000000,1,5,0xe8aaa49a,rms,2^(-13.8578),2^(-13.8578)
11,random_keys,,5,0x0000000000001234,0x10000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x10000000,1,2,0x0dbe3497,rms,2^(-13.8151),2^(-13.8151)
11,random_keys,,5,0x0000000000001234,0x10000000,1,3,0xe1402cc9,rms,2^(-13.8332),2^(-13.8332)
11,random_keys,,5,0x0000000000001234,0x10000000,1,4,0x5b5c5448,rms,2^(-13.8359),2^(-13.8359)
11,random_keys,,5,0x0000000000001234,0x10000000,1,5,0xa7d0c271,rms,2^(-13.8380),2^(-13.8380)
11,random_keys,,5,0x0000000000001234,0x20000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x20000000,1,2,0x99013484,rms,2^(-13.7963),2^(-13.7963)
11,random_keys,,5,0x0000000000001234,0x20000000,1,3,0x359254db,rms,2^(-13.8097),2^(-13.8097)
11,random_keys,,5,0x0000000000001234,0x20000000,1,4,0xc5df1efa,rms,2^(-13.8163),2^(-13.8163)
11,random_keys,,5,0x0000000000001234,0x20000000,1,5,0xdcc9f8ca,rms,2^(-13.8212),2^(-13.8212)
11,random_keys,,5,0x0000000000001234,0x40000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
